¿Qué es una arquitectura monolítica según la descripción tradicional?,Un diseño de software donde una aplicación se construye como una única unidad con una base de código compartida y componentes integrados.
"En una arquitectura monolítica, ¿qué desafío principal surge al escalar la aplicación?","Requiere reproducir todo el sistema, lo cual es intensivo en recursos e ineficiente."
¿Qué es la arquitectura de microservicios?,Un diseño que descompone una aplicación en servicios más pequeños e implementables que realizan funciones de negocio especializadas.
¿Cuál es una ventaja clave de los microservicios en términos de escalabilidad?,"Permite el escalado dirigido de servicios individuales de forma autónoma, optimizando el uso de recursos."
Una desventaja de la arquitectura de microservicios es la complicación en la _____ y la integración del sistema.,comunicación entre servicios
¿Para qué tipo de aplicaciones son más adecuadas las arquitecturas monolíticas?,Aplicaciones más pequeñas y sencillas donde la simplicidad de desarrollo y despliegue son prioritarias.
¿Para qué tipo de aplicaciones son preferibles las arquitecturas de microservicios?,"Sistemas grandes y complejos que requieren alta escalabilidad, flexibilidad y resiliencia."
¿Qué principio de ingeniería de software aboga por dividir un sistema en secciones distintas y no superpuestas?,Separación de Intereses (Separation of Concerns - SoC).
El principio _____ tiene como objetivo reducir la repetición de información y lógica en el desarrollo de software.,No te Repitas (Don't Repeat Yourself - DRY)
"Según la ""Regla de Tres"" para aplicar DRY, ¿cuándo se debe abstraer un fragmento de código?","Después de que se haya duplicado al menos dos veces, para evitar una abstracción prematura."
¿Qué son los principios SOLID?,"Un conjunto de cinco principios de diseño en programación orientada a objetos para crear software más comprensible, flexible y mantenible."
"En SOLID, ¿qué significa el Principio de Responsabilidad Única (SRP)?","Una clase debe tener una sola razón para cambiar, es decir, un solo trabajo."
El Principio de Abierto/Cerrado (OCP) de SOLID establece que las entidades de software deben estar abiertas para la _____ pero cerradas para la _____.,extensión; modificación
¿Qué garantiza el Principio de Sustitución de Liskov (LSP)?,Que los subtipos deben ser sustituibles por sus tipos base sin alterar la corrección del programa.
El Principio de Segregación de Interfaces (ISP) de SOLID sugiere crear interfaces más _____ y _____ en lugar de una grande y de propósito general.,pequeñas; específicas
¿Qué dicta el Principio de Inversión de Dependencias (DIP) de SOLID?,Los módulos de alto nivel no deben depender de los de bajo nivel; ambos deben depender de abstracciones.
¿Qué es una arquitectura por capas (n-tier)?,"Un patrón que organiza un sistema en capas horizontales, cada una con una responsabilidad específica, como la interfaz de usuario o la persistencia de datos."
¿Cómo se restringe típicamente la comunicación en una arquitectura por capas estricta?,Una capa solo debe comunicarse con la capa inmediatamente inferior.
¿Qué es la Arquitectura Orientada a Eventos (EDA)?,Un paradigma donde los componentes del sistema se comunican de forma asíncrona a través de la producción y consumo de eventos.
"Un ejemplo de uso de la Arquitectura Orientada a Eventos es el procesamiento de datos de IoT, donde los sensores publican datos como _____ a una plataforma central.",eventos
¿Qué enfoque de diseño de software centra el proceso de desarrollo en una comprensión profunda del dominio del negocio?,Diseño Orientado al Dominio (Domain-Driven Design - DDD).
"En DDD, ¿qué es el Lenguaje Ubicuo?","Un lenguaje compartido que todos en el proyecto, tanto técnicos como expertos del dominio, utilizan para cerrar la brecha de comunicación."
¿Qué es una arquitectura API-First?,"Un enfoque de diseño que trata las APIs de la aplicación como el producto principal, comenzando el desarrollo con su diseño y documentación."
"La arquitectura _____ y nativa de la nube utiliza tecnologías como Docker y Kubernetes para crear aplicaciones resilientes, elásticas y fáciles de gestionar.",basada en contenedores
¿Por qué es importante diseñar aplicaciones sin estado (stateless) en una arquitectura nativa de la nube?,Permite al orquestador escalar horizontalmente las instancias y reemplazar contenedores fallidos sin perder el contexto del usuario.
¿Qué es la Infraestructura como Código (IaC)?,"El uso de herramientas como Terraform para definir y gestionar la infraestructura de la nube en código, haciéndola reproducible y versionable."
¿Cuál es el principio fundamental de la Arquitectura Limpia (Clean Architecture)?,"La Regla de la Dependencia: las dependencias del código fuente solo pueden apuntar hacia adentro, hacia la lógica de negocio central."
"En la Arquitectura Limpia, ¿qué capa contiene las reglas de negocio de toda la empresa y las estructuras de datos?",La capa de Entidades (Entities).
"En la Arquitectura Limpia, la capa de _____ contiene las reglas de negocio específicas de la aplicación y orquesta el flujo de datos.",Casos de Uso (Use Cases)
¿Qué es el patrón de arquitectura Serverless?,"Un diseño nativo de la nube donde los desarrolladores despliegan código como funciones sin gestionar servidores, y el proveedor de la nube asigna recursos dinámicamente."
¿Cuál es una desventaja común de la arquitectura Serverless relacionada con la latencia inicial?,"El ""arranque en frío"" (cold start), que es un retraso durante la ejecución inicial de una función inactiva."
El patrón _____ segrega las operaciones de lectura (Query) y escritura (Command) en modelos distintos para optimizar el rendimiento.,CQRS (Command Query Responsibility Segregation)
¿Para qué tipo de sistemas es especialmente útil el patrón CQRS?,"Sistemas con muchas lecturas (high-read), como dashboards o herramientas de informes, donde las lecturas superan ampliamente a las escrituras."
"¿Qué es la Arquitectura Hexagonal, también conocida como Puertos y Adaptadores?","Un patrón que aísla la lógica de negocio central de las preocupaciones externas (UI, base de datos) mediante el uso de puertos (interfaces) y adaptadores (implementaciones)."
¿Cuál es una ventaja clave de la Arquitectura Hexagonal en términos de pruebas?,Mejora la capacidad de prueba (testability) al permitir que la lógica de negocio central se pruebe de forma aislada de los detalles técnicos.
La arquitectura basada en espacio (space-based) está diseñada para manejar alta carga eliminando la _____ como un cuello de botella.,base de datos central
