¿Qué es la arquitectura de microservicios?,"Es un enfoque de diseño donde una aplicación se construye como un conjunto de servicios pequeños e implementables de forma independiente, cada uno ejecutándose en su propio proceso y comunicándose a través de mecanismos ligeros."
¿Cuál es el propósito principal del patrón API Gateway?,"Actuar como un único punto de entrada para todos los clientes, enrutando las solicitudes al microservicio apropiado en el backend y manejando preocupaciones transversales."
Un ejemplo del mundo real del patrón API Gateway es _____ de Netflix.,Zuul
¿En qué se diferencia el patrón Backends for Frontends (BFF) del patrón API Gateway?,"En el patrón BFF se crean backends separados y personalizados para cada tipo de frontend (web, móvil, etc.), en lugar de una única puerta de enlace para todos."
¿Cómo gestiona el patrón Saga las transacciones distribuidas en microservicios?,"Divide una transacción global en una serie de transacciones locales coordinadas, utilizando transacciones compensatorias para deshacer los pasos si uno falla."
"En el patrón Saga, la estrategia de _____ utiliza un servicio central para indicar a cada participante qué hacer a continuación.",orquestación
"En el patrón Saga, la estrategia de _____ se basa en que cada servicio publique eventos que otros servicios escuchan y a los que reaccionan en cadena.",coreografía
¿Qué son las transacciones compensatorias en el patrón Saga?,Son operaciones que revierten el efecto de un paso completado previamente en una saga cuando un paso posterior falla.
¿Qué principio de consistencia de datos habilitan las Sagas en los microservicios?,Consistencia eventual.
¿Qué significa el patrón 'Database per Service' (Base de datos por servicio)?,"Cada microservicio posee y gestiona su propia base de datos, y otros servicios no pueden acceder directamente a ella."
¿Qué es la 'Persistencia Políglota' (Polyglot Persistence) en el contexto de microservicios?,"Es el uso de diferentes tipos de tecnologías de bases de datos para diferentes microservicios, eligiendo la mejor opción para las necesidades de cada servicio."
¿Cuál es la función del patrón Sidecar?,Adjuntar un proceso o servicio auxiliar a un servicio principal para proporcionar capacidades comunes (como logging o monitoreo) sin sobrecargar el código del servicio principal.
"En Kubernetes, el patrón Sidecar se utiliza comúnmente para inyectar un proxy _____ como parte de una malla de servicios (service mesh) como Istio.",Envoy
"¿Qué significa el principio de 'Smart Endpoints, Dumb Pipes' (Extremos inteligentes, tuberías tontas)?","Significa que la lógica de negocio y el procesamiento deben residir en los microservicios (los extremos), mientras que los canales de comunicación (las tuberías) deben ser simples y sin lógica compleja."
¿Cómo ayuda el patrón 'Consumer-Driven Contracts' (CDC) a evitar rupturas entre microservicios?,"Permite que los consumidores de una API definan sus expectativas en un contrato, que el proveedor utiliza para verificar que los cambios no romperán la integración."
¿Cuál es el propósito del patrón Strangler Fig (Higuera Estranguladora)?,"Permitir la migración gradual de un sistema monolítico a microservicios, reemplazando incrementalmente partes del sistema antiguo hasta que pueda ser retirado."
¿Cómo funciona la estrategia de despliegue 'Shadow Deployment' (Despliegue en Sombra)?,"Se duplica el tráfico de producción y se envía a una nueva versión del servicio en paralelo con la antigua, sin que la respuesta de la nueva versión afecte al usuario, para probarla bajo carga real."
¿Por qué es preferible que los microservicios sean 'stateless' (sin estado)?,Porque simplifica el escalado horizontal y la resiliencia; cualquier instancia puede manejar cualquier solicitud sin depender del estado de interacciones previas.
"En un servicio sin estado, ¿dónde se suele almacenar el estado necesario (como los datos de sesión)?","En un almacenamiento externo, como una base de datos o una caché, o se pasa en cada solicitud (por ejemplo, a través de tokens)."
¿Qué es el patrón Circuit Breaker (Interruptor de circuito)?,"Es un patrón que evita que un servicio intente llamar continuamente a un servicio que está fallando, abriendo el 'circuito' para fallar rápidamente y darle tiempo al servicio defectuoso para recuperarse."
¿Cuáles son los tres estados de un Circuit Breaker?,"Cerrado (Closed), Abierto (Open) y Semiabierto (Half-Open)."
"En el patrón Circuit Breaker, el estado _____ permite que un número limitado de solicitudes de prueba pasen para verificar si el servicio se ha recuperado.",Semiabierto (Half-Open)
